2025-12-03 18:21:35,593 INFO Starting network monitor
2025-12-03 18:21:35,593 INFO Logging to logs/monitor.log
2025-12-03 18:21:35,593 INFO Database at data/monitor.db
2025-12-03 18:21:35,593 INFO Speedtests enabled every 1800 seconds
2025-12-03 18:21:35,624 INFO Starting network monitor loop
2025-12-03 18:49:35,711 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.2 ms
2025-12-03 18:50:05,698 INFO internet-google (eth0) reachable: 8.8.8.8, latency=21.5 ms
2025-12-03 18:50:05,728 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.3 ms
2025-12-03 18:50:35,693 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 18:50:35,722 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:51:05,688 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.8 ms
2025-12-03 18:51:05,720 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:51:35,690 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
2025-12-03 18:51:35,722 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.7 ms
2025-12-03 18:51:44,142 WARNING Speedtest failed (speedtest): {"error":"Latency test failed"}
{"type":"log","timestamp":"2025-12-03T23:51:44Z","message":"Error: [0] Cannot open socket","level":"error"}
2025-12-03 18:52:05,687 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 18:52:05,715 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-03 18:52:35,689 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:52:35,720 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.8 ms
2025-12-03 18:53:05,690 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 18:53:05,720 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:53:35,690 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:53:35,721 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:54:05,694 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
2025-12-03 18:54:05,726 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:54:35,687 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 18:54:35,722 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:55:05,691 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.1 ms
2025-12-03 18:55:05,721 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.6 ms
2025-12-03 18:55:35,694 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 18:55:35,726 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-03 18:56:05,693 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.6 ms
2025-12-03 18:56:05,724 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 18:56:35,717 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.6 ms
2025-12-03 18:56:35,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-03 18:57:05,693 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.0 ms
2025-12-03 18:57:05,723 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.6 ms
2025-12-03 18:57:35,694 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.7 ms
2025-12-03 18:57:35,729 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.2 ms
2025-12-03 18:58:05,695 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.9 ms
2025-12-03 18:58:05,725 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-03 18:58:35,717 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 18:58:35,744 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-03 18:59:05,695 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 18:59:05,732 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.8 ms
2025-12-03 18:59:35,697 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:59:35,729 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 19:00:05,697 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 19:00:05,729 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.2 ms
2025-12-03 19:00:35,718 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 19:00:35,754 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=20.3 ms
2025-12-03 19:01:05,703 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.0 ms
2025-12-03 19:01:05,735 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.4 ms
2025-12-03 19:01:35,698 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 19:01:35,744 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-03 19:02:05,696 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.8 ms
2025-12-03 19:02:05,725 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 19:02:35,703 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.0 ms
